INFO 2024-05-16 09:02:52,835 autoreload 14 140407794355072 Watching for file changes with StatReloader
DEBUG 2024-05-16 09:02:53,195 autoreload 14 140407794355072 File /workspace/myapp/accounts/apps.py first seen with mtime 1709702064.9159434
DEBUG 2024-05-16 09:02:53,195 autoreload 14 140407794355072 File /usr/local/lib/python3.12/asyncio/unix_events.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,195 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1713847790.7110064
DEBUG 2024-05-16 09:02:53,195 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/files/uploadhandler.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,195 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/array.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,217 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/dispatch/dispatcher.py first seen with mtime 1713847791.17101
DEBUG 2024-05-16 09:02:53,217 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/deprecation.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,218 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/asgiref/local.py first seen with mtime 1713847790.1710021
DEBUG 2024-05-16 09:02:53,218 autoreload 14 140407794355072 File /usr/local/lib/python3.12/urllib/response.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,218 autoreload 14 140407794355072 File /usr/local/lib/python3.12/traceback.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,218 autoreload 14 140407794355072 File /usr/local/lib/python3.12/bisect.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,218 autoreload 14 140407794355072 File /usr/local/lib/python3.12/asyncio/format_helpers.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,218 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1713847791.1110096
DEBUG 2024-05-16 09:02:53,219 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/template/loader_tags.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,219 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1713847789.620998
DEBUG 2024-05-16 09:02:53,219 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1713847790.5910053
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/glob.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/cgi.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/template/loaders/base.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/handlers/base.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/migrations/operations/base.py first seen with mtime 1713847791.1510098
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/fields/mixins.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,220 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/functions/mixins.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,221 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/http/multipartparser.py first seen with mtime 1713847791.18101
DEBUG 2024-05-16 09:02:53,221 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/urls/utils.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,221 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/PIL/ExifTags.py first seen with mtime 1713847789.8309994
DEBUG 2024-05-16 09:02:53,221 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/apps/registry.py first seen with mtime 1713847790.291003
DEBUG 2024-05-16 09:02:53,221 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/http/cookie.py first seen with mtime 1713847791.18101
DEBUG 2024-05-16 09:02:53,222 autoreload 14 140407794355072 File /usr/local/lib/python3.12/email/mime/base.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,222 autoreload 14 140407794355072 File /usr/local/lib/python3.12/email/encoders.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,222 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/mptt/templatetags/mptt_tags.py first seen with mtime 1713847792.8510232
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/sqlparse/keywords.py first seen with mtime 1713847789.620998
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/views/i18n.py first seen with mtime 1713847791.2110102
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/asgiref/sync.py first seen with mtime 1713847790.1810021
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/templatetags/cache.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/views/generic/__init__.py first seen with mtime 1713847791.2110102
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/pkgutil.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,223 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/PIL/_imaging.cpython-312-x86_64-linux-gnu.so first seen with mtime 1713847789.8109994
DEBUG 2024-05-16 09:02:53,225 autoreload 14 140407794355072 File /usr/local/lib/python3.12/shutil.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,225 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1713847790.431004
DEBUG 2024-05-16 09:02:53,225 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_decimal.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,225 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_bisect.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,225 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,225 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/__init__.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,226 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/sessions/apps.py first seen with mtime 1713847791.0210087
DEBUG 2024-05-16 09:02:53,226 autoreload 14 140407794355072 File /usr/local/lib/python3.12/email/headerregistry.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,226 autoreload 14 140407794355072 File /usr/local/lib/python3.12/asyncio/sslproto.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,226 autoreload 14 140407794355072 File /usr/local/lib/python3.12/_compat_pickle.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,226 autoreload 14 140407794355072 File /workspace/myapp/myapp/__init__.py first seen with mtime 1709702064.9159434
DEBUG 2024-05-16 09:02:53,226 autoreload 14 140407794355072 File /usr/local/lib/python3.12/uuid.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,227 autoreload 14 140407794355072 File /usr/local/lib/python3.12/pathlib.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,227 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/backends/base/__init__.py first seen with mtime 1713847791.1410098
DEBUG 2024-05-16 09:02:53,227 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/PIL/__init__.py first seen with mtime 1713847789.8109994
DEBUG 2024-05-16 09:02:53,242 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/views/decorators/__init__.py first seen with mtime 1713847791.2110102
DEBUG 2024-05-16 09:02:53,243 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/datetime_safe.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,243 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/template/engine.py first seen with mtime 1713847791.18101
DEBUG 2024-05-16 09:02:53,244 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/forms/fields.py first seen with mtime 1713847791.17101
DEBUG 2024-05-16 09:02:53,244 autoreload 14 140407794355072 File /usr/local/lib/python3.12/concurrent/__init__.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,245 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/migrations/__init__.py first seen with mtime 1713847791.1510098
DEBUG 2024-05-16 09:02:53,245 autoreload 14 140407794355072 File /usr/local/lib/python3.12/json/scanner.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,245 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/mptt/templatetags/mptt_admin.py first seen with mtime 1713847792.8510232
DEBUG 2024-05-16 09:02:53,246 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/manager.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,246 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1713847791.1510098
DEBUG 2024-05-16 09:02:53,246 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/translation/trans_real.py first seen with mtime 1713847791.2110102
DEBUG 2024-05-16 09:02:53,246 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/core/signing.py first seen with mtime 1713847791.1210096
DEBUG 2024-05-16 09:02:53,247 autoreload 14 140407794355072 File /usr/local/lib/python3.12/functools.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,247 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/PIL/Image.py first seen with mtime 1713847789.8209994
DEBUG 2024-05-16 09:02:53,247 autoreload 14 140407794355072 File /usr/local/lib/python3.12/signal.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,247 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_csv.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,248 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/sqlparse/sql.py first seen with mtime 1713847789.620998
DEBUG 2024-05-16 09:02:53,248 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/mptt/apps.py first seen with mtime 1713847792.841023
DEBUG 2024-05-16 09:02:53,248 autoreload 14 140407794355072 File /usr/local/lib/python3.12/socketserver.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,248 autoreload 14 140407794355072 File /usr/local/lib/python3.12/gettext.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,248 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/sessions/backends/base.py first seen with mtime 1713847791.0210087
DEBUG 2024-05-16 09:02:53,249 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/timezone.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,249 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,249 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1713847790.7010062
DEBUG 2024-05-16 09:02:53,249 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/db/models/constraints.py first seen with mtime 1713847791.1610098
DEBUG 2024-05-16 09:02:53,250 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/conf/__init__.py first seen with mtime 1713847790.291003
DEBUG 2024-05-16 09:02:53,250 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/views/decorators/csrf.py first seen with mtime 1713847791.2110102
DEBUG 2024-05-16 09:02:53,250 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/forms/widgets.py first seen with mtime 1713847791.17101
DEBUG 2024-05-16 09:02:53,250 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1713847791.1110096
DEBUG 2024-05-16 09:02:53,256 autoreload 14 140407794355072 File /usr/local/lib/python3.12/typing.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,256 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1713847790.7110064
DEBUG 2024-05-16 09:02:53,256 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1713847790.651006
DEBUG 2024-05-16 09:02:53,257 autoreload 14 140407794355072 File /usr/local/lib/python3.12/logging/__init__.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,257 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/formats.py first seen with mtime 1713847791.2010102
DEBUG 2024-05-16 09:02:53,258 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/urls/resolvers.py first seen with mtime 1713847791.19101
DEBUG 2024-05-16 09:02:53,258 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/admin/apps.py first seen with mtime 1713847790.431004
DEBUG 2024-05-16 09:02:53,258 autoreload 14 140407794355072 File /usr/local/lib/python3.12/heapq.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,258 autoreload 14 140407794355072 File /usr/local/lib/python3.12/lib-dynload/_datetime.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712759897.0
DEBUG 2024-05-16 09:02:53,259 autoreload 14 140407794355072 File /usr/local/lib/python3.12/json/decoder.py first seen with mtime 1712759889.0
DEBUG 2024-05-16 09:02:53,259 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/utils/translation/reloader.py first seen with mtime 1713847791.2110102
DEBUG 2024-05-16 09:02:53,259 autoreload 14 140407794355072 File /usr/local/lib/python3.12/fnmatch.py first seen with mtime 1712759888.0
DEBUG 2024-05-16 09:02:53,259 autoreload 14 140407794355072 File /usr/local/lib/python3.12/site-packages/django/contrib/messages/constants.py first seen with mtime 1713847790.921008
